Date : 2024-01-14 12:24:51
Directory : c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System
Total : 423 files,  17805 codes, 6785 comments, 3337 blanks, all 27927 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\theme.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\timing.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\tools.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\tree-table.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\tree.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\unlock.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\user.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\user1.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\validCode.svg                                                         | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\visits.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\web.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\wechat.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\weixin.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\zujian.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svgo.yml                                                                  | YAML            |          5 |         13 |          5 |         23 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\audio.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\audio_selected.svg                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\emoji.js                                                         | JavaScript      |        116 |          0 |          1 |        117 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\pic.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\pic_info.svg                                                     | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\pic_info_selected.svg                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\pic_selected.svg                                                 | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\video.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\video_selected.svg                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\words.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\officalAccount\words_selected.svg                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\btn.scss                                                                 | SCSS            |         83 |          0 |         17 |        100 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\eladmin.scss                                                             | SCSS            |        112 |          1 |          5 |        118 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\element-ui.scss                                                          | SCSS            |         61 |          5 |         14 |         80 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\element-variables.scss                                                   | SCSS            |         13 |         10 |          9 |         32 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\index.scss                                                               | SCSS            |        147 |          2 |         34 |        183 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\mixin.scss                                                               | SCSS            |         56 |          0 |         11 |         67 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\sidebar.scss                                                             | SCSS            |        166 |          6 |         38 |        210 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\transition.scss                                                          | SCSS            |         35 |          4 |         10 |         49 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\styles\variables.scss                                                           | SCSS            |         26 |          4 |          6 |         36 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\components\Crud\crud.js                                                                | JavaScript      |        670 |        186 |         15 |        871 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\components\IconSelect\requireIcons.js                                                  | JavaScript      |          7 |          0 |          5 |         12 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\components\Permission\index.js                                                         | JavaScript      |         10 |          0 |          4 |         14 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\components\Permission\permission.js                                                    | JavaScript      |         18 |          0 |          4 |         22 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\layout\components\Sidebar\FixiOSBug.js                                                 | JavaScript      |         24 |          2 |          1 |         27 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\layout\components\index.js                                                             | JavaScript      |          5 |          0 |          1 |          6 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\layout\mixin\ResizeHandler.js                                                          | JavaScript      |         40 |          2 |          4 |         46 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\main.js                                                                                | JavaScript      |         26 |          3 |         11 |         40 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\mixins\crud.js                                                                         | JavaScript      |        257 |         80 |          2 |        339 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\router\index.js                                                                        | JavaScript      |         60 |          5 |          6 |         71 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\router\routers.js                                                                      | JavaScript      |         64 |          1 |          4 |         69 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\settings.js                                                                            | JavaScript      |         15 |         36 |          1 |         52 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\getters.js                                                                       | JavaScript      |         24 |          0 |          1 |         25 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\index.js                                                                         | JavaScript      |         16 |          4 |          6 |         26 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\modules\api.js                                                                   | JavaScript      |         16 |         10 |          2 |         28 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\modules\app.js                                                                   | JavaScript      |         52 |          0 |          5 |         57 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\modules\permission.js                                                            | JavaScript      |         39 |          0 |          5 |         44 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\modules\settings.js                                                              | JavaScript      |         32 |          0 |          6 |         38 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\modules\tagsView.js                                                              | JavaScript      |        153 |          1 |         12 |        166 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\store\modules\user.js                                                                  | JavaScript      |         80 |          6 |          9 |         95 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\auth.js                                                                          | JavaScript      |         15 |          0 |          5 |         20 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\datetime.js                                                                      | JavaScript      |        178 |          5 |         34 |        217 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\get-page-title.js                                                                | JavaScript      |          8 |          0 |          3 |         11 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\index.js                                                                         | JavaScript      |        263 |         98 |         28 |        389 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\open-window.js                                                                   | JavaScript      |         12 |          9 |          5 |         26 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\permission.js                                                                    | JavaScript      |         17 |          5 |          4 |         26 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\request.js                                                                       | JavaScript      |         84 |          6 |          4 |         94 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\rsaEncrypt.js                                                                    | JavaScript      |         21 |          3 |          7 |         31 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\shortcuts.js                                                                     | JavaScript      |         93 |          0 |          4 |         97 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\upload.js                                                                        | JavaScript      |         10 |          0 |          2 |         12 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\utils\validate.js                                                                      | JavaScript      |        103 |         49 |         17 |        169 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\vue.config.js                                                                              | JavaScript      |        114 |         10 |          8 |        132 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\py\predict.py                                                                                                | Python          |        121 |         32 |         17 |        170 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\py\train\changePictureNumber.py                                                                              | Python          |         24 |          3 |          3 |         30 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\py\train\trainModel.py                                                                                       | Python          |        114 |          5 |         43 |        162 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\XQ.css                                                                                               | CSS             |         17 |          2 |          4 |         23 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\XQ_1.css                                                                                             | CSS             |         17 |          2 |          4 |         23 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\bootstrap.min.css                                                                                    | CSS             |          1 |          5 |          0 |          6 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\iconfont.css                                                                                         | CSS             |        136 |          0 |        127 |        263 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\index4.css                                                                                           | CSS             |         15 |          3 |          4 |         22 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\jquery.mobile-1.4.5.min.css                                                                          | CSS             |          1 |          1 |          1 |          3 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\mui.min.css                                                                                          | CSS             |          5 |          0 |          0 |          5 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\css\style.css                                                                                            | CSS             |         17 |          1 |          8 |         26 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\desease.html                                                                                             | HTML            |         34 |          0 |          0 |         34 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\fonts\glyphicons-halflings-regular.svg                                                                   | XML             |        288 |          0 |          0 |        288 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\illness.html                                                                                             | HTML            |         31 |          0 |          6 |         37 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\index.html                                                                                               | HTML            |         36 |          0 |          4 |         40 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\index4.html                                                                                              | HTML            |         61 |          0 |          2 |         63 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\XQ_Illness.js                                                                                         | JavaScript      |         75 |          4 |          9 |         88 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\XQ_Record.js                                                                                          | JavaScript      |        174 |          1 |          6 |        181 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\XQ_Tree.js                                                                                            | JavaScript      |        126 |          1 |          6 |        133 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\bootstrap.min.js                                                                                      | JavaScript      |          1 |          5 |          0 |          6 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\desease.js                                                                                            | JavaScript      |         43 |          8 |          8 |         59 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\index.js                                                                                              | JavaScript      |         43 |          3 |          7 |         53 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\index4.js                                                                                             | JavaScript      |        201 |         24 |         19 |        244 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\jquery-1.6.2.min.js                                                                                   | JavaScript      |          3 |         15 |          0 |         18 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\jquery-3.5.1.min.js                                                                                   | JavaScript      |          1 |          1 |          1 |          3 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\jquery.min.js                                                                                         | JavaScript      |          3 |          1 |          2 |          6 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\jquery.mobile-1.4.5.min.js                                                                            | JavaScript      |          1 |          8 |          1 |         10 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\js\mui.min.js                                                                                            | JavaScript      |          4 |          5 |          0 |          9 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\record.html                                                                                              | HTML            |         31 |          0 |          1 |         32 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\web\tree.html                                                                                                | HTML            |         31 |          0 |          6 |         37 |
| Total                                                                                                                                                                         |                 |     17,805 |      6,785 |      3,337 |     27,927 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
